user_id,episode_id,listen_duration,age,gender,country,title,category,age_group
16,30,60,24,female,Saudi Arabia,Episode 30,Sports,<25
6,8,120,59,male,Morocco,Episode 8,Sports,45+
6,13,60,59,male,Morocco,Episode 13,Society,45+
6,27,1500,59,male,Morocco,Episode 27,News,45+
17,9,1500,21,male,Saudi Arabia,Episode 9,Sports,<25
14,23,300,19,female,Morocco,Episode 23,Sports,<25
10,25,0,44,male,Jordan,Episode 25,Sports,35-44
15,6,60,42,male,UAE,Episode 6,Society,35-44
12,27,1800,52,female,Jordan,Episode 27,News,45+
3,1,60,42,male,Saudi Arabia,Episode 1,Religion,35-44
14,13,0,19,female,Morocco,Episode 13,Society,<25
12,24,120,52,female,Jordan,Episode 24,Society,45+
17,6,0,21,male,Saudi Arabia,Episode 6,Society,<25
10,3,300,44,male,Jordan,Episode 3,Society,35-44
14,18,1800,19,female,Morocco,Episode 18,News,<25
19,22,300,42,male,Egypt,Episode 22,Society,35-44
14,22,300,19,female,Morocco,Episode 22,Society,<25
16,2,1800,24,female,Saudi Arabia,Episode 2,Technology,<25
1,30,1800,38,female,Morocco,Episode 30,Sports,35-44
15,3,300,42,male,UAE,Episode 3,Society,35-44
19,12,60,42,male,Egypt,Episode 12,Sports,35-44
5,15,0,51,female,Jordan,Episode 15,News,45+
2,1,300,30,female,Jordan,Episode 1,Religion,25-34
1,8,1500,38,female,Morocco,Episode 8,Sports,35-44
5,30,1500,51,female,Jordan,Episode 30,Sports,45+
18,29,1500,52,male,Saudi Arabia,Episode 29,Sports,45+
5,13,300,51,female,Jordan,Episode 13,Society,45+
10,3,1800,44,male,Jordan,Episode 3,Society,35-44
20,30,1500,32,female,Egypt,Episode 30,Sports,25-34
2,20,300,30,female,Jordan,Episode 20,Society,25-34
7,13,60,30,male,Egypt,Episode 13,Society,25-34
3,1,120,42,male,Saudi Arabia,Episode 1,Religion,35-44
11,29,0,41,male,Morocco,Episode 29,Sports,35-44
2,19,0,30,female,Jordan,Episode 19,Politics,25-34
10,13,1500,44,male,Jordan,Episode 13,Society,35-44
5,22,1500,51,female,Jordan,Episode 22,Society,45+
5,28,120,51,female,Jordan,Episode 28,News,45+
4,28,0,57,female,Egypt,Episode 28,News,45+
12,6,120,52,female,Jordan,Episode 6,Society,45+
8,7,300,45,female,Jordan,Episode 7,Religion,45+
20,22,0,32,female,Egypt,Episode 22,Society,25-34
5,12,900,51,female,Jordan,Episode 12,Sports,45+
17,6,120,21,male,Saudi Arabia,Episode 6,Society,<25
14,17,900,19,female,Morocco,Episode 17,Sports,<25
20,1,1800,32,female,Egypt,Episode 1,Religion,25-34
18,1,300,52,male,Saudi Arabia,Episode 1,Religion,45+
14,26,300,19,female,Morocco,Episode 26,Technology,<25
3,14,300,42,male,Saudi Arabia,Episode 14,Society,35-44
16,11,60,24,female,Saudi Arabia,Episode 11,Sports,<25
2,11,1500,30,female,Jordan,Episode 11,Sports,25-34
8,28,300,45,female,Jordan,Episode 28,News,45+
19,28,60,42,male,Egypt,Episode 28,News,35-44
8,29,900,45,female,Jordan,Episode 29,Sports,45+
3,20,1500,42,male,Saudi Arabia,Episode 20,Society,35-44
20,7,60,32,female,Egypt,Episode 7,Religion,25-34
18,10,0,52,male,Saudi Arabia,Episode 10,News,45+
6,16,1800,59,male,Morocco,Episode 16,Politics,45+
11,24,1800,41,male,Morocco,Episode 24,Society,35-44
8,5,0,45,female,Jordan,Episode 5,Politics,45+
6,3,900,59,male,Morocco,Episode 3,Society,45+
19,5,60,42,male,Egypt,Episode 5,Politics,35-44
9,24,1500,43,female,Egypt,Episode 24,Society,35-44
6,21,300,59,male,Morocco,Episode 21,Society,45+
19,16,300,42,male,Egypt,Episode 16,Politics,35-44
20,29,300,32,female,Egypt,Episode 29,Sports,25-34
9,8,300,43,female,Egypt,Episode 8,Sports,35-44
1,22,900,38,female,Morocco,Episode 22,Society,35-44
16,8,900,24,female,Saudi Arabia,Episode 8,Sports,<25
20,6,60,32,female,Egypt,Episode 6,Society,25-34
15,8,1800,42,male,UAE,Episode 8,Sports,35-44
8,24,1500,45,female,Jordan,Episode 24,Society,45+
12,7,0,52,female,Jordan,Episode 7,Religion,45+
12,2,0,52,female,Jordan,Episode 2,Technology,45+
14,27,1800,19,female,Morocco,Episode 27,News,<25
18,20,60,52,male,Saudi Arabia,Episode 20,Society,45+
9,14,1500,43,female,Egypt,Episode 14,Society,35-44
6,4,60,59,male,Morocco,Episode 4,News,45+
2,23,1800,30,female,Jordan,Episode 23,Sports,25-34
4,14,60,57,female,Egypt,Episode 14,Society,45+
15,4,1800,42,male,UAE,Episode 4,News,35-44
6,28,60,59,male,Morocco,Episode 28,News,45+
7,27,300,30,male,Egypt,Episode 27,News,25-34
18,6,900,52,male,Saudi Arabia,Episode 6,Society,45+
11,25,900,41,male,Morocco,Episode 25,Sports,35-44
15,7,900,42,male,UAE,Episode 7,Religion,35-44
7,25,120,30,male,Egypt,Episode 25,Sports,25-34
16,16,0,24,female,Saudi Arabia,Episode 16,Politics,<25
10,9,60,44,male,Jordan,Episode 9,Sports,35-44
17,9,120,21,male,Saudi Arabia,Episode 9,Sports,<25
16,27,1800,24,female,Saudi Arabia,Episode 27,News,<25
2,9,900,30,female,Jordan,Episode 9,Sports,25-34
15,26,300,42,male,UAE,Episode 26,Technology,35-44
3,29,120,42,male,Saudi Arabia,Episode 29,Sports,35-44
7,29,1800,30,male,Egypt,Episode 29,Sports,25-34
2,6,300,30,female,Jordan,Episode 6,Society,25-34
16,28,900,24,female,Saudi Arabia,Episode 28,News,<25
19,9,60,42,male,Egypt,Episode 9,Sports,35-44
12,2,1500,52,female,Jordan,Episode 2,Technology,45+
1,1,1800,38,female,Morocco,Episode 1,Religion,35-44
15,16,900,42,male,UAE,Episode 16,Politics,35-44
